qid,band,lawyer_rank,lawyer_cosine,lang_tag,labelled_act,labelled_provision,question,lawyer_answer
ajke_0172_01,suspect,,0.5392,bengali,"জন্ম ও মৃত্যু নিবন্ধন আইন, ২০০৪",,"প্রশ্ন: মা-বাবা যার সঙ্গে আমাকে বিয়ে দিয়েছিল, তাকে আমার পছন্দ ছিল না বলে গাজীপুর কোর্ট থেকে ডিভোর্স দিই। পরে সেখানেই পছন",এ ক্ষেত্রে আপনার মা-বাবার সঙ্গে দেখা করে তাঁদের কাছ থেকে প্রয়োজনীয় কাগজ বুঝে নিতে পারেন। এতে কাজ না হলে গাজীপুর সিটি ক
prot_0056_06,suspect,,0.5393,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,"আমার খালু এক ছেলে, এক মেয়ে ও স্ত্রীকে রেখে মারা যান। কিছুদিন পর খালার দেবরের সঙ্গে খালার দ্বিতীয় বিয়ে হয়। প্রথম সংসারের ",আপনার চিঠির তথ্য অনুযায়ী আপনার খালার রেখে যাওয়া উত্তরাধিকারীদের তালিকা অসম্পূর্ণ। আপনার মৃত খালার অন্য কোনো জীবিত উত্তরা
prot_0047_04,middle,129,0.5393,english,"The Guardians and Wards Act, 1890",Matters to be considered by the Court in appointing guardian,"আমাদের দাম্পত্য জীবন ১৬ বছরের। আমার দুটি কন্যাসন্তান আছে। বড় মেয়ে পড়ে পঞ্চম শ্রেণীতে, আর ছোট মেয়ে পড়ে তৃতীয় শ্রেণীতে। আম",দ্বিতীয় বিবাহের ফলে আপনার সন্তানদের হেফাজতকারী হিসেবে আপনি আপনার অধিকার হারাবেন। মুসলিম আইন অনুযায়ী মেয়েসন্তানেরা যৌবনপ্
prot_0076_03,suspect,,0.5401,english,"1The Transfer of Property Act, 1882",“Exchange” defined,আমি বর্তমানে একটা চার্টার্ড অ্যাকাউনট্যান্সি (সিএ) প্রতিষ্ঠানে শিক্ষানবিশ হিসেবে কাজ করছি। আমরা দুই ভাই ও পাঁচ বোন। আমার,চিঠির তথ্য অনুযায়ী আপনারা বাবার সঙ্গে তাঁর ভাতিজার বিনিময় চুক্তিটি বাতিল ও আপনার বাবার আড়াই কাঠা জমির দখল হস্তান্তরের মা
prot_0056_01,suspect,,0.5403,english,"1The Contract Act, 1872",Compensation for loss or damage caused by breach of contract,কিছুদিন আগে আমি আমার এক পরিচিত ব্যক্তিকে একটি বিশেষ কাজ করার জন্য ৫০ হাজার টাকা দিয়েছিলাম। টাকা দেওয়ার সময় একটি ১৫০ টাকা,টাকা ফেরত পাওয়ার জন্য আপনাকে আদালতে মোকদ্দমা করতে হবে। এ ধরনের মামলা খরচ ও সময়সাপেক্ষ। ভবিষ্যতে টাকা ধার দেওয়ার ব্যাপারে
prot_0077_04,suspect,,0.5408,english,"The Specific Relief Act, 1877",Discretion of Court as to declaration of status or right. Ba,আমি ১৫ বছর আগে একটি নামকরা প্রতিষ্ঠানের মার্কেট থেকে একটি দোকান কিনি আমার নামে। দোকানের কাগজপত্র আমার কাছে আছে। আমার এক ,"আপনার সমস্যা সমাধানের ক্ষেত্রে আপনি দুই ধরনের পদক্ষেপ নিতে পারেন। প্রথমত, আপনি দোকানের দখল পুনরুদ্ধারের জন্য দেওয়ানি আদা"
prot_0052_02,suspect,,0.5414,english,"1The Transfer of Property Act, 1882",Transfer how effected,"আমরা এক ভাই, এক বোন। আমার বয়স ২৩, বোনের ১৪। বছর খানেক আগে আমার মা মারা যাওয়ার পর আমার বাবা দ্বিতীয় বিয়ে করেন। দ্বিতীয় বি",আপনার বাবার জীবদ্দশায় তাঁর সম্পত্তি তিনিই ভোগ করবেন। তবে জীবিত থাকাকালীন তিনি তাঁর সম্পত্তি যাকে ইচ্ছা লিখে দিতে পারেন। 
prot_0003_05,middle,78,0.5438,english,"The Guardians and Wards Act, 1890",Power of the Court to make order as to guardianship,আমি ও আমার স্ত্রী দুজনই সরকারি চাকরিজীবী। আমরা আমাদের এক দরিদ্র দূরসম্পর্কের আত্মীয়ের এক মাস বয়সী কন্যাকে তাঁদের পূর্ণ স,প্রথমেই উল্লেখ্য যে মুসলিম আইনে দত্তক নেওয়ার কোনো বিধান নেই। সুতরাং ছালছাবিলকে সন্তান হিসেবে গ্রহণের আইনগত কোনো বিধান ন
prot_0076_01,middle,34,0.5445,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,আমার নানার চার ছেলে দুই মেয়ে। নানা ও নানি মারা গেছেন। নানার সম্পত্তি ছেলেমেয়েদের মধ্যে কী অনুপাতে ভাগ করা হবে? তাঁর ২০ ব,মুসলিম শরিয়ত আইন অনুযায়ী উত্তরাধিকার হিসেবে বোন তার ভাইয়ের অর্ধেক অংশ সমান সম্পত্তির অংশীদার। যেহেতু আপনার নানার চার ছেল
prot_0015_02,middle,171,0.545,english,"The Muslim Family Laws Ordinance, 1961",Succession,"আমার দাদা-দাদির পাঁচ ছেলে ও দুই মেয়ে। ১৯৭৭ সালে আমার বয়স যখন দুই বছর, তখন আমার বাবা মারা যান। আমি আমার বাবার একমাত্র ম",প্রতিনিধিত্ব আইনের বলে আপনার দাদা-দাদির সম্পত্তিতে আপনার বাবার প্রাপ্য অংশের হকদার আপনি এবং আপনার মা। এ ক্ষেত্রে আপনার ম
prot_0035_03,middle,12,0.5451,mixed,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,"আমরা পাঁচ ভাই, পাঁচ বোন। আমার বাবা গত বছর মারা যান। তিনি তাঁর বড় সন্তানের নামে তুলনামূলক বেশি সম্পত্তি রেখে গেছেন। মৃত্",আপনার বাবা তাঁর জীবদ্দশায় যে সম্পত্তি তাঁর অন্য ছেলেদের নামে কিনেছেন তাতে আপনাদের কোনো অধিকার নেই। মুসলিম আইন অনুযায়ী 
prot_0070_04,suspect,,0.5451,english,"1The Contract Act, 1872",Compensation for loss or damage caused by breach of contract,২০০৬ সালে আমার এক আত্মীয়কে তিন লাখ টাকা দিয়েছিলাম ব্যবসার জন্য। সে বলেছিল আমাকে কিছু লাভ দেবে। কিন্তু সে লাভের টাকা দেওয়,"আপনি আপনার টাকা ফেরত পাওয়ার জন্য উপযুক্ত দেওয়ানি আদালতের দ্বারস্থ হতে পারেন। আপনি যে প্রতারণার শিকার হয়েছেন, সেই প্রতারণ"
prot_0004_02,middle,51,0.546,mixed,"The Muslim Family Laws Ordinance, 1961",Maintenance,"আমরা পাঁচ ভাই, এক বোন। আমি দ্বিতীয়। আমার বড় ভাই আমার মেজো চাচার মেয়েকে বিয়ে করেছিলেন। তাঁর দুই মেয়ে (চার ও তিন বছর বয়সী",আপনার ভাই বাড়ি থেকে পালিয়ে গেলেও স্ত্রীর পোষণ ও ছোট মেয়েদের ভরণপোষণ তাঁদের প্রাপ্য। ভরণপোষণ ছাড়াও প্রয়োজনে স্ত্রীর দেনম
prot_0056_03,suspect,,0.5466,english,"The Specific Relief Act, 1877",Cases in which specific performance enforceable,আমার দাদা ২০০৪ সালে ফুফুর বিয়েতে খরচের জন্য দেড় বিঘা জমি পাশের গ্রামের এক লোকের কাছে বিক্রি করেন। তাঁর কাছে দাদা ৫০ হাজা,২০০৪ সালের সংশোধিত নিবন্ধন আইনে সব ধরনের বিক্রয় ও হস্তান্তরের ক্ষেত্রে নিবন্ধন বাধ্যতামূলক করা হয়েছে। চুক্তি বাস্তবায়নের
prot_0063_05,suspect,,0.5467,english,"1The Penal Code, 1860",Kidnapping or abducting or inducing woman to compel her marr,আমার বয়স ২১। স্নাতক পর্যায়ে পড়ছি। বাবা-মা আমাকে অনিচ্ছা সত্ত্বেও জোরপূর্বক বিয়ে দেওয়ার চেষ্টা করছেন। আমি এখন বিয়েতে রাজি,মুসলিম আইনে বিবাহের জন্য ছেলেমেয়ে উভয় পক্ষের সম্মতি প্রয়োজন। সুতরাং সম্মতি ছাড়া বাবা-মা আপনাকে বিয়ে দিতে পারবেন না। আপনা
prot_0075_03,suspect,,0.5485,bengali,"নারী ও শিশু নির্যাতন দমন আইন, ২০০০","যৌতুকের জন্য মৃত্যু ঘটানো, ইত্যাদির শাস্তি",আমার স্বামী আমাকে যৌতুকের দাবিতে প্রায়ই নির্যাতন করত। আমার বাবার আর্থিক অবস্থা মোটেও ভালো ছিল না। আমার স্বামী আমাকে একদি,নারী ও শিশু নির্যাতন আইনের আওতায় অপরাধগুলো আপসযোগ্য নয়। আপনার চিঠিতে উল্লিখিত মীমাংসা বা আপসনামার আইনগত কোনো ভিত্তি নেই।
prot_0077_06,suspect,,0.5515,english,"1The Contract Act, 1872",What considerations and objects are lawful and what not,কিছুদিন আগে স্বাস্থ্য খাতে লোক নিয়োগের পরীক্ষা হয়। এ সময় একজন নেতা আমাকে স্বাস্থ্য খাতে চাকরি দেবে বলে লিখিত পরীক্ষার আগ,লিখিত পরীক্ষায় পাসের জন্য যেকোনো ধরনের লেনদেন নিষিদ্ধ ও গর্হিত কাজ। ওই ব্যক্তিকে অর্থ প্রদান করে আপনিও এই গর্হিত অপরাধের
prot_0011_05,suspect,,0.5515,mixed,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,আমি আমার বাবার দ্বিতীয় পক্ষের মেয়েসন্তান। আমরা দুই বোন এক ভাই। বড় বোন বিবাহিত। আমি স্নাতক (সম্মান) চতুর্থ বর্ষে আর আম,আপনার বাবা তাঁর জীবিত অবস্থায় তাঁর সম্পত্তি অন্য কাউকে লিখে দিতে পারেন। সে ক্ষেত্রে উত্তরাধিকারীরা ওই সম্পত্তির অধিকার হ
prot_0128_05,middle,183,0.5521,english,"1The Transfer of Property Act, 1882",Saving of donations mortis causa and Muhammadan law,আমার বাবা জীবিত থাকাকালে মাকে ৩০ শতাংশ জমি একটি স্ট্যাম্পে লিখে দান করে দিয়ে যান। আমরা দুই ভাই ও তিন বোন। বাবার মৃত্যুর ,আপনার মা আপনাকে যথাযথভাবে এবং রেজিস্ট্রি করে দান করে দিয়ে গেলে অন্য ভাইবোন এ সম্পত্তি দাবি করতে পারবে না। যেহেতু আপনাকে 
prot_0084_02,suspect,,0.5525,english,"The Specific Relief Act, 1877",Discretion of Court as to declaration of status or right. Ba,আমার বাবার জমি উত্তর-দক্ষিণ রাস্তার পূর্ব পাশে। তার পূর্ব পাশে আমার বাবা আমার নামে ৩৩ শতাংশ জমি ক্রয় করেন আমার এক চাচার ,"আপনাকে আপননার ক্রয়কৃত (৩৩ শতক) ভূমি থেকে বা বন্ধকি নেওয়া সম্পত্তি থেকে বেদখল করা হয়েছে, সে ব্যাপারটি চিঠিতে পরিষ্কার নয়।"
prot_0084_06,middle,77,0.5528,english,"1The Transfer of Property Act, 1882",Transfer how effected,আমার দাদার বাবারা তিন ভাই। দাদা তাঁর ছোট চাচার একমাত্র মেয়েকে বিয়ে করেছেন। আমার দাদির কোনো ভাইবোন নেই। দাদি তাঁর বাবার ক,আপনার দাদির বাবা তাঁর জীবদ্দশায় তাঁর সম্পত্তি দাদির নামে দান করে দিয়েছেন। এই দানবলে আপনার দাদি ওই সম্পত্তির মালিক স্বত্ব
prot_0030_03,middle,136,0.5546,english,"The Muslim Family Laws Ordinance, 1961",Dower,১৯৮২ সালে পঞ্চাশ হাজার টাকা দেনমোহরে আমার বিয়ে হয়। উশুল ছিল ১৫ হাজার টাকা ও ৪ ভরি সোনার গহনা। ১৯৮৪ সালে সেই গহনা বিক্রি ,মোহরানা হচ্ছে স্বামীর কাছে স্ত্রীর একধরনের ঋণ এবং এই ঋণ চাহিবামাত্র পরিশোধযোগ্য। সুতরাং বিবাহিত থাকাকালীন সময়ও ওই দেনমোহ
prot_0043_05,middle,84,0.5546,english,"The Muslim Family Laws Ordinance, 1961",Talaq,আমার তালাক হয়েছে ২০১১ সালে। এখন আমার সাবেক স্বামী আবার আমাকে বিয়ে করতে চাইছে। এই বিয়ে কি ইসলামি আইনে হতে পারে? আমার ম,"মুসলিম পারিবারিক অধ্যাদেশ ১৯৬১ অনুযায়ী, একই স্বামীর সঙ্গে পুনরায় বিবাহবন্ধনে আবদ্ধ হতে কোনো বাধা নেই। এবং এ ক্ষেত্রে অ"
prot_0079_02,suspect,,0.5556,english,"The Specific Relief Act, 1877",Discretion of Court as to declaration of status or right. Ba,"আমার বাবা মারা যান ১৯৮৮ সালে। তিনি জানতেন না যে, আমাদের গ্রামের বাড়িতে তাঁর নামে ১৪ শতাংশ জায়গা আছে। কিছুদিন আগে আমার বড়",আপনি দেওয়ানি আদালতে বিক্রি বাতিল ও দখল হস্তান্তরের মামলা করতে পারেন। কিন্তু এ ধরনের মামলা কিছুটা সময় ও ব্যয়সাপেক্ষ। তবে 
prot_0065_05,middle,44,0.5565,english,"1The Transfer of Property Act, 1882",“Sale” defined,আমার বাবার নামে ঢাকা ক্যান্টনমেন্টের কাছে সাড়ে চার শতাংশ জমি ছিল। তাঁরা দুই ভাই। বাবার ওই জমি বুঝিয়ে-শুনিয়ে বড় চাচা নিজে,"যেহেতু আপনার বাবা লিখিত দলিলের মাধ্যমে জমি বিক্রি করেননি, সেহেতু ওই জমির মালিকানা সন্দেহজনক। ওয়ারিশ হিসেবে ওই সম্পত্তি আ"
prot_0135_03,middle,162,0.5577,english,"The Specific Relief Act, 1877",Discretion of Court as to declaration of status or right. Ba,বাবা আমাদের তিন ভাইকে দানপত্রের মাধ্যমে সম্পত্তি লিখে দেন। আমি আমার অংশের নাম খারিজ করিয়েছি। কিন্তু আমার ভাইয়েরা আমাকে ন,"আপনার বাবার দানপত্র জালিয়াতি করলে আপনার ভাইদের বিরুদ্ধে জালিয়াতির অভিযোগে মামলা করতে পারেন। আপনার বাবা জীবিত, না মৃত তা "
prot_0052_05,middle,151,0.5581,bengali,"নারী ও শিশু নির্যাতন দমন আইন, ২০০০",,এক বছর আগে একটি ছেলের সঙ্গে টেলিফোনে আমার পরিচয় হয়। তারপর কথা বলার একপর্যায়ে তার সঙ্গে আমার ভালো বন্ধুত্ব হয়। এর মধ্যে দ,আমাদের সমাজে মেয়েদের হয়রানি একটি নিত্যনৈমিত্তিক ব্যাপার। এসব ক্ষেত্রে নিজে সচেতন থাকা উচিত। তবে নিরাপত্তাহীনতার কারণে আপ
prot_0077_07,suspect,,0.5587,bengali,"জন্ম ও মৃত্যু নিবন্ধন আইন, ২০০৪",তত্ত্বাবধান ও পরিদর্শন,আমার বাবার দুই ভাই। আমরাও দুই ভাই। আমি ফেনী সরকারি বিশ্ববিদ্যালয়ে পড়ছি। আমাদের পদবি আমার দাদুর (বাবার বাবা) পদবি থেকে ভি,সাধারণত মানুষের নাম তার শিক্ষাগত যোগ্যতার সনদপত্র অনুযায়ী নির্ধারিত হয়ে থাকে। সুতরাং আপনার প্রকৃত পদবি শিক্ষাগত সনদপত্রে
prot_0010_03,good,4,0.5591,english,"The Hindu Women's Rights to Property Act, 1937",Devolution of property,বাংলাদেশে হিন্দু মেয়েদের বাবার সম্পত্তিতে অধিকার আছে কি?,বাংলাদেশে হিন্দু আইনে কন্যাসন্তান সম্পত্তিতে উত্তরাধিকার হবেন না। তবে জীবনস্বত্বে তিনি প্রয়োজনে তা ব্যবহার করতে পারেন
ajke_0157_01,good,10,0.5595,english,"The Hindu Women's Rights to Property Act, 1937",Devolution of property,প্রশ্ন: আমি হিন্দুধর্মাবলম্বী একজন বিবাহিত মেয়ে। কিছুদিন আগে আমার বাবা মারা গেছেন। আমার বাবা ব্যাংকে কিছু টাকা রেখে গেছ,"আমাদের দেশে হিন্দু উত্তরাধিকার আইন আছে। আপনার বাবা ব্যাংকে যে টাকা রেখে গেছেন, তার নমিনি আপনার মা। নমিনি মানে টাকা পাওয়া"
prot_0063_02,middle,43,0.56,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,আমি আমার বাবা-মায়ের একমাত্র কন্যাসন্তান। আমার মায়েরা তিন বোন ও দুই ভাই। অন্য দুই খালা আমার নানার সম্পত্তির অংশ বুঝে নিয়ে,আপনার মা এবং তাঁর ভাইবোনেরা আপনার নানার সম্পত্তির উত্তরাধিকারী। আপনার মায়ের প্রাপ্ত সম্পত্তির অর্ধেক আপনার প্রাপ্য। মুসল
prot_0069_05,middle,21,0.562,english,"The Muslim Family Laws Ordinance, 1961",Talaq,আমার বয়স ২৯ বছর। প্রায় তিন বছর আগে পরিবারের অমতে কোর্টে গিয়ে বিয়ে করেছিলাম। বিয়ের কিছুদিন পর বিভিন্ন কারণে আমার পরিবারের,মুসলিম শরিয়ত অনুযায়ী আগে তালাকপ্রাপ্ত স্বামীর সঙ্গে পুনরায় বিবাহের ক্ষেত্রে মধ্যবর্তী বিয়ে বা হিল্লা বিয়ের বিধান ছিল। ১৯
prot_0068_05,middle,15,0.5654,english,"The Muslim Family Laws Ordinance, 1961",Dissolution of marriage otherwise than by talaq,আমি বিবাহিত। একটি মেয়ে আছে। আমি আমার ছোট দেবরকে ভালোবাসি। কিছুদিন আগে আমার স্বামী বিষয়টি জেনে যায়। বিষয়টি নিয়ে অনেকবার ত,"আপনার স্বামী যেহেতু আপনাকে তালাক দিতে চাইছেন না, সেহেতু আপনি স্বামীর সঙ্গে পুনরায় সুসম্পর্ক বজায় রাখার চেষ্টা করতে পারেন"
prot_0085_03,middle,16,0.5655,mixed,"The Specific Relief Act, 1877",Discretion of Court as to declaration of status or right. Ba,আমি হিন্দু ধর্মাবলম্বী। আমাদের জমি ক্রয়-বিক্রয়ে সরকারের কোনো অনুমতি লাগে না। আমার বাবার দাদার নামে ১৯৬২ সালে ২৬ বিঘা জমি,"চিঠির বক্তব্য অনুযায়ী, ১৯৬২ সালে আপনার বাবার দাদার নামে ২৬ বিঘা জমি রেকর্ডভুক্ত ছিল এবং পরবর্তী সময়ে ১৯৭২ সালে আপনার বাব"
prot_0046_04,middle,124,0.5658,english,"The Muslim Family Laws Ordinance, 1961",Dower,ছয় মাস আগে একটি ছেলের সঙ্গে মাত্র ১১ দিনের পরিচয়ে গোপনে বিয়ে হয়। আবেগের বশবর্তী হয়েই এ কাজটি করি। আমাদের বিয়ের ব্যাপারটা,"দেনমোহর স্বামীর কাছে স্ত্রীর একধরনের পাওনা। স্বামী বা স্ত্রীর যেই তালাক দিক না কেন, দেনমোহরের অর্থ স্ত্রীর প্রাপ্য। তালা"
prot_0011_04,middle,133,0.5658,english,"1The Transfer of Property Act, 1882",“Gift” defined,দত্তক নেওয়া সন্তানকে কীভাবে নিজের সম্পত্তির উত্তরাধিকার বানাব? নাম প্রকাশে অনিচ্ছুক,মুসলিম আইনে দত্তক নেওয়ার কোনো বিধান নেই। তবে আপনি আপনার সম্পত্তি আপনার জীবিত অবস্থায় দান করতে পারেন। সে ক্ষেত্রে সম্পত
prot_0055_01,good,10,0.5668,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,এক বছর আগে রাজশাহীতে আমার ফুফুর বাড়ি বেড়াতে যাই। সেখানে গিয়ে একটি মেয়েকে আমার খুব ভালো লেগে যায়। সেও আমাকে পছন্দ করে। আম,মুসলিম আইনে রক্তের সম্পর্কযুক্ত ব্যক্তিদের মধ্যে বিবাহ নিষিদ্ধ করা হয়েছে। দাদির বোনের মেয়ে এ ধরনের সম্পর্কের মধ্যে পড়েন 
prot_0057_03,good,3,0.5669,english,"The Muslim Family Laws Ordinance, 1961",Talaq,আমি একটি বেসরকারি কোম্পানিতে চাকরি করি। কিছুদিন আগে এক সহকর্মীর চাচাতো বোনের সঙ্গে আমার পরিচয় হয়। একপর্যায়ে আমি ও ওই সহক,"মেয়েটির সঙ্গে আপনার বিয়েটি যদি বৈধ হয়, তাহলে নির্ধারিত পদ্ধতিতে তালাকের মাধ্যমে আপনাকে তার সঙ্গে সম্পর্ক ছিন্ন করতে হবে "
prot_0066_01,good,7,0.5671,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,আমি বিয়ে করেছি ১৬ বছর আগে। বিয়ে হয়েছিল ঢাকায় এবং আমার ইচ্ছার বিরুদ্ধে। তাই চালাকি করে বিয়ে নিবন্ধনের সময় মা-বাবার নাম সঠ,মুসলিম আইনে আপনার বিয়ে সম্পর্কে কোনো ত্রুটি নেই। তবে আপনি ইচ্ছা করলে নিকাহনামার ভুল অংশগুলো সংশোধন করে নিতে পারেন
prot_0014_01,middle,170,0.5677,english,"1The Transfer of Property Act, 1882",Transfer how effected,"আমরা দুই বোন মায়ের ৩০ ডেসিমেল জমি কিনি। এক দাগে ছিল ১৯, আরেক দাগে ছিল ১১ ডেসিমেল। আমি ১১ ডেসিমেল জমি আমার স্বামীর নামে ",আপনার দানকৃত সম্পত্তিতে হস্তান্তরের পর আপনার কোনো অধিকার নেই। তবে পুনরায় যদি আপনার স্বামী তাঁর সম্পত্তি আপনাকে দান করে
prot_0059_03,good,9,0.5683,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,আমার বয়স ৩৫। মা-বাবা আমাকে ছয় মাস বয়স থেকে লালনপালন করছেন এবং সন্তানের স্বীকৃতি দিয়ে আসছেন। এমনকি আমার জাতীয় পরিচয়পত্রেও,মুসলিম আইনে অ্যাডপশনের কোনো বিধান নেই। সুতরাং পালিত পুত্র হিসেবে আপনার পিতা-মাতার সম্পত্তিতে আপনার কোনো অধিকার নেই। যেহে
prot_0085_04,middle,99,0.5684,english,"1The Transfer of Property Act, 1882",Transfer how effected,আমার বয়স ১৬। আমরা দুই ভাই এক বোন। আমার বাবা দুটি বিয়ে করেছেন। আমার মা তাঁর দ্বিতীয় স্ত্রী। আমি আমার মায়ের প্রথম সন্তান। ,সাধারণত হেবা দলিলের মাধ্যমে কোনো সম্পত্তি হস্তান্তর করা হলে সেই সম্পত্তিতে উত্তরাধিকারী হিসেবে কারও অধিকার থাকে না। আপনা
prot_0038_03,middle,27,0.5687,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,আমার বাবা মারা গেছেন চার বছর আগে। আমরা দুই ভাই ও দুই বোন। বাবার রেখে যাওয়া কোনো সম্পত্তি এখন পর্যন্ত খারিজ করা হয়নি। আমা,মুসলিম আইন অনুযায়ী আপনার দাদি আপনার বাবার সম্পত্তির অংশীদার। এ ক্ষেত্রে আপনার দাদি আপনার বাবার সম্পত্তির ছয় ভাগের এক ভাগ
prot_0071_03,middle,130,0.5691,english,"The Specific Relief Act, 1877",Discretion of Court as to declaration of status or right. Ba,আমার চাচার কোনো সন্তান নেই। তিনি মারা যাওয়ার আগে তাঁর সব সম্পত্তি পালিত পুত্র ও তার পরিবারকে লিখে দিয়েছেন। চাচার বাড়ি ও ,"প্রথমত, বাড়ি ভাগের জন্য আপনাকে নির্দিষ্ট দেওয়ানি আদালতে বাটোয়ারা মামলা করতে হবে। দ্বিতীয়ত, আপনার চাচা যেহেতু পুরো সম্পত্"
prot_0002_02,middle,90,0.5705,mixed,"মানসিক স্বাস্থ্য আইন, ২০১৮",মানসিক অসুস্থতায় আক্রান্ত ব্যক্তির অভিভাবকত্ব,"আমরা তিন বোন, আমাদের কোনো ভাই নেই। আমার বাবা মানসিকভাবে অসুস্থ। আইন অনুযায়ী বাবা উইল না করলে কি আমরা বাবার সব সম্পত্তির",মুসলিম আইন অনুযায়ী আপনার বাবার মৃত্যুর পর তাঁর সম্পত্তির তিন ভাগের দুই ভাগ আপনারা পাবেন। বাকি এক ভাগ আপনার বাবার ভাইবোন
prot_0000_01,middle,25,0.571,english,"The Muslim Marriages and Divorces (Registration) Act, 1974",Registration of marriages,"আমি একজনকে ভালোবাসি, সেও আমাকে ভালোবাসে। আমাদের সম্পর্ক চার বছরের। তাকে বাড়ি থেকে বিয়ে দিতে চাচ্ছে। আর আমিও এখনো কিছ","এফিডেভিট করা হলেও বিবাহের রীতিনীতি অনুসরণ করে বিবাহ করা বাঞ্ছনীয়। যেহেতু আপনারা দুজনেই সাবালক, সেহেতু আপনার সর্বসম্মতিতে"
prot_0080_03,middle,24,0.5716,english,"The Muslim Family Laws Ordinance, 1961",Succession,"আমার বাবা-চাচারা চার ভাই, তিন বোন। আমি যখন সাত বছরের ছিলাম, তখন আমার বাবা মারা যান। দাদা এখনো জীবিত। লোকমুখে শুনেছি, বাব",১৯৬১ সালে পারিবারিক আইন অধ্যাদেশে উত্তরাধিকারীদের ক্ষেত্রে প্রতিনিধিত্বের নীতি প্রতিষ্ঠিত হয়েছে। সুতরাং মুসলিম উত্তরাধিক
prot_0063_01,middle,13,0.5729,english,"1The Penal Code, 1860",Adultery,আমার বয়স ২৩। একটি মেয়ের সঙ্গে আমার সম্পর্ক ছিল। আমাকে খুব ভালোবাসত। হঠাৎ একদিন আমার অজান্তে মেয়েটির এক প্রবাসী ছেলের সঙ্,"বিবাহবন্ধন ব্যতীত মেয়েটির সঙ্গে আপনি যে শারীরিক সম্পর্ক স্থাপন করেছেন, তা মুসলিম আইনে অবৈধ। এ ছাড়া কন্যাসন্তানটি বয়ঃসন্ধ"
prot_0000_04,suspect,,0.5731,english,"The Specific Relief Act, 1877",Discretion of Court as to declaration of status or right. Ba,"আমার সমস্যা হচ্ছে, আমার মায়েরা চার বোন ও এক ভাই। নানা মারা গেছেন। নানি জীবিত। নানার সম্পত্তি তিন বোন নিয়েছেন। ছোট খাল","তিন বোন যেহেতু তাঁদের প্রাপ্য অংশ নিয়েছেন, বাকি এক বোন তাঁর প্রাপ্য অংশের জন্য স্বত্ব ঘোষণার মামলা করতে পারেন। মুসলিম"
prot_0091_07,middle,32,0.576,mixed,"পারিবারিক আদালত আইন, ২০২৩",পারিবারিক আদালতের এখতিয়ার,আমার বাবা তিনটা বিয়ে করেছেন। আমরা প্রথম ঘরের সন্তান। আমরা এক ভাই ও এক বোন। দ্বিতীয় ঘরে এক ভাই এবং তৃতীয় ঘরে এক বোন। আমি ,আপনার চিঠিতে উল্লিখিত সমস্যাগুলো পারিবারিক। আইনগতভাবে এর সমাধান দেওয়া সম্ভব নয়। তবে আপনার মা আইনগতভাবে আপনার বাবার কাছ থ
prot_0075_02,middle,30,0.576,english,"The Muslim Family Laws Ordinance, 1961",Succession,আমার দাদার সঙ্গে বিয়ে হওয়ার আগে দাদির আর একটি বিয়ে হয়েছিল। সেখানে একটা ছেলের জন্ম হয়েছিল। ছেলেটির জন্মের পর দাদির তালাক ,"আপনার দাদির সম্পত্তির অংশীদার আপনার বাবা, ফুপু ও আপনার দাদির আগের স্বামীর সন্তান। যেহেতু আপনার দাদির আগের স্বামীর সন্তান"
prot_0085_06,middle,41,0.5766,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,চার বছর ধরে আমার একজন সহকর্মীর সঙ্গে সম্পর্ক তৈরি হয়। আমার সহকর্মী হিন্দু। এই সম্পর্কের মধ্যে তিন বছর আগেই ও আর আমি হিন্,হিন্দুধর্মে কনভারসন বা ধর্মান্তরিত হওয়ার কোনো সুযোগ নেই। কোনো মুসলমান কিতাবি ছাড়া অন্যান্য ধর্মাবলম্বীকে বিয়ে করার ক্ষেত
prot_0049_03,middle,59,0.5767,english,"The Guardians and Wards Act, 1890",Title of guardian to custody of ward,আমি একজন ব্যবসায়ী। ২০০২ সালে আমার চাচাতো বোনকে বিয়ে করি। আমাদের প্রায় আট বছর বয়সী একটি ছেলে আছে। আজ থেকে প্রায় চার মাস আ,"১৮৯০ সালের অভিভাবক ও নাবালক সন্তান আইন অনুযায়ী, সাত বছর পূর্তি না হওয়া পর্যন্ত পুত্রসন্তান এবং যৌবনপ্রাপ্ত না হওয়া পর্যন"
