"qid","annotator","n_words","question_bn","paraphrase","pii_removed","notes"
"prot_0090_04","Sifat","139","আজ থেকে দেড় বছর আগে আমার একটি ছেলের সঙ্গে বন্ধুত্ব হয়। সে আমাকে ভালোবাসতে শুরু করে, আমিও দুর্বল হয়ে পড়ি। কিছুদিন পর আমি অনেক ভেবে-চিন্তে তাকে বুঝিয়ে ফিরে আসি। আমার ফিরে আসাটা মেনে না নিয়ে সে আমাকে, আমার পরিবারের সবাইকে এমনকি আত্মীয়স্বজনকে মোবাইলফোনে মিসডকল, অশ্লীল এসএমএস এবং সরাসরি ফোন করে বিরক্ত করছে। বিরক্তি সইতে না পেরে পরিবারের সবাই আমার মতামত চান। আমি বলি, আমি মরে যাব তবুও এই ছেলেকে বিয়ে করব না। ছেলের মোবাইল ফোনে আমার ছবি ছিল, সেগুলো বিকৃত করে আমার সব আত্মীয়স্বজনের কাছে পাঠিয়েছে। এতে করে আমি পারিবারিক নির্যাতনে আছি। এখনো বিরক্ত করে। এখন আমার মনে হয়, মরে যাওয়া ছাড়া কোনো পথ নেই। আমি কি নিজেকে, পরিবারকে, আত্মীয়স্বজনকে ওই ছেলের হাত থেকে রক্ষা করতে পারব না?এ ব্যাপারে আমার পরিবারের কেউই আমাকে সাহায্য করতে চায় না। আমি মেয়ে, তাই কোনো ব্যবস্থা নিতে পারছি না পরামর্শের অভাবে।নাম প্রকাশে অনিচ্ছুকদিনাজপুর","দেড় বছর আগে একটা ছেলের সঙ্গে আমার বন্ধুত্ব হয়। সে আমাকে ভালোবাসতে শুরু করে, আমিও ওর প্রতি দুর্বল হয়ে পড়ি। কিছুদিন পর অনেক ভেবেচিন্তে ওকে বুঝিয়ে-শুনিয়ে আমি সম্পর্ক থেকে সরে আসি। আমার সরে আসাটা সে মেনে নিতে পারেনি; আমাকে, আমার পরিবারের সবাইকে, এমনকি আত্মীয়স্বজনদেরও মোবাইলে মিসডকল দিয়ে, অশ্লীল এসএমএস পাঠিয়ে আর সরাসরি ফোন করে জ্বালাতন করছে। জ্বালাতন সহ্য করতে না পেরে বাড়ির সবাই আমার মত জানতে চাইলে বলেছি, মরে গেলেও এই ছেলেকে বিয়ে করব না। ওর মোবাইলে আমার কিছু ছবি ছিল, সেগুলো বিকৃত করে আমার সব আত্মীয়ের কাছে পাঠিয়ে দিয়েছে। এ কারণে আমি এখন পরিবারের ভেতরেই নির্যাতনের মধ্যে আছি। সে এখনো জ্বালাতন করে যাচ্ছে। এখন মনে হয় মরে যাওয়া ছাড়া আর কোনো রাস্তা নেই। নিজেকে, পরিবারকে আর আত্মীয়স্বজনকে কি ওই ছেলের হাত থেকে বাঁচাতে পারব না? পরিবারের কেউই এ ব্যাপারে আমাকে সাহায্য করতে চাইছে না। মেয়ে বলে, আর ঠিক পরামর্শ না পাওয়ায়, কোনো ব্যবস্থা নিতে পারছি না।","yes","Removed district in the sign-off ('name withheld' + district)."
"prot_0095_01","Sifat","63","আমি একজন উদ্যোক্তা। প্রায় তিন বছর ধরে আমি একটি বুটিক হাউস চালাই। এই ব্যবসায় আমার সঙ্গে আরও দুজন অংশীদার (পার্টনার) যুক্ত হতে চাইছেন। আমরা সবাই মিলে বুটিক হাউসটিকে একটি ব্যবসায়িক প্রতিষ্ঠানে রূপ দিতে চাচ্ছি। আমাদের একজন কোম্পানি গঠনের কথা বলছেন। আমরা জেনেছি, কোম্পানি গঠন করা নাকি খুব ঝক্কির কাজ। এ ক্ষেত্রে আমার প্রশ্ন, কোম্পানি গঠনের জন্য কী কী আইনি পদ্ধতি মেনে চলতে হবে?","আমি একজন উদ্যোক্তা, প্রায় তিন বছর ধরে একটা বুটিক হাউস চালাচ্ছি। এখন আরও দুজন এই ব্যবসায় অংশীদার হিসেবে যোগ দিতে চান। আমরা সবাই মিলে বুটিক হাউসটাকে একটা ব্যবসা প্রতিষ্ঠান হিসেবে দাঁড় করাতে চাই। আমাদের একজন বলছেন কোম্পানি খুলতে। শুনেছি, কোম্পানি গঠন করাটা নাকি বেশ ঝামেলার কাজ। তাই জানতে চাই, কোম্পানি করতে হলে কোন কোন আইনি প্রক্রিয়া মানতে হবে?","no",""
"prot_0100_05","Sifat","22","ওই জমিতে এখন যারা ভোগদখলে রয়েছে তাদের সঙ্গে আলোচনার মাধ্যমে সমাধান করে রেজিস্ট্রেশন করে যদি দলিল দেয় তাহলে করতে পারবে কি না?","জমিটা এখন যারা দখল করে ভোগ করছে, তাদের সঙ্গে কথাবার্তা বলে মিটমাট করে যদি রেজিস্ট্রি দলিল করে দেওয়া হয়, তাহলে কি সেটা করা যাবে?","no","Follow-up fragment from a numbered multi-question letter; context missing."
"prot_0104_05","Sifat","79","অর্পিত সম্পত্তি বাংলাদেশের মালিক বা বংলাদেশে উত্তরাধিকার বা বাংলাদেশে স্বত্বাধিকারী বা বাংলাদেশি উত্তরাধিকার সূত্রে সহ-অংশীদার ছাড়া অন্য কোনো তৃতীয় পক্ষ তালিকাভুক্ত অর্পিত সম্পত্তি ইজারাভুক্ত করলেও নতুন আইনে সম্পত্তি ফেরত পাওয়ার কোনো সুযোগ নেই। তবে কোনো তৃতীয় পক্ষ যদি আদালত বা অন্য কোনোভাবে ওই সম্পত্তিতে মালিকানা দাবিদার হয় তবে সেই বিষয়টি ট্রাইব্যুনাল বিবেচনা করতে পারবেন।৬. বর্তমানে দখলদাররা অত্যন্ত প্রভাবশালী, তারা প্রত্যক্ষ বা পরোক্ষভাবে আমি ও আমার পরিবারের সদস্যদের বর্তমানে বা ভবিষ্যতে নিশ্চিহ্ন করতে পারে। এমতাবস্থায় আমাদের নিরাপত্তার জন্য করণীয় কী?","তালিকায় ওঠা অর্পিত সম্পত্তি বাংলাদেশি মালিক, বাংলাদেশে থাকা উত্তরাধিকারী, বাংলাদেশে স্বত্বাধিকারী বা উত্তরাধিকার সূত্রে বাংলাদেশি সহ-অংশীদার ছাড়া অন্য কোনো তৃতীয় পক্ষ ইজারা নিয়ে থাকলেও নতুন আইনে সম্পত্তি ফেরত পাওয়ার কোনো সুযোগ নেই। তবে কোনো তৃতীয় পক্ষ আদালতের মাধ্যমে বা অন্য কোনো উপায়ে ওই সম্পত্তির মালিকানা দাবি করলে ট্রাইব্যুনাল বিষয়টি বিবেচনা করতে পারবে। ৬. এখন যারা জমি দখল করে আছে তারা খুবই প্রভাবশালী; সরাসরি হোক বা ঘুরিয়ে, আমাকে আর আমার পরিবারের লোকজনকে এখন বা ভবিষ্যতে তারা শেষ করে দিতে পারে। এ অবস্থায় নিজেদের নিরাপত্তার জন্য আমাদের কী করা উচিত?","no","Starts with the columnist's reply to an earlier item; the actual question is item 6 at the end."
"prot_0108_04","Sifat","52","আমার ভাই তাঁর অংশ ১৪-১১-১১ তারিখে সাব-কবলা করে বিক্রি করেন। বাড়িটি আমাদের দুই ভাইয়ের নামে রেকর্ড হয় এবং দলিল-পর্চায় বাড়ি-বাগান হিসেবে এখনো রেকর্ড হয়েছে এবং বর্তমানে আছে। ১৯৫২ সালের আগেও বাড়ি-বাগান বলেই রেকর্ড। আমি ‘প্রিয়েমশন’ বা অগ্রক্রয় মামলা করতে চাই। আমার জানতে ইচ্ছে করে, আমি প্রিয়েমশন করে ওই বাড়িটি পাব কি না?","১৪-১১-১১ তারিখে আমার ভাই সাফ-কবলা দলিল করে তাঁর ভাগটা বিক্রি করে দিয়েছেন। বাড়িটা আমাদের দুই ভাইয়ের নামে রেকর্ড করা, আর দলিল ও পর্চায় এখনো এটা বাড়ি-বাগান হিসেবেই লেখা আছে। ১৯৫২ সালের আগের রেকর্ডেও এটা বাড়ি-বাগানই ছিল। আমি ‘প্রিয়েমশন’ অর্থাৎ অগ্রক্রয়ের মামলা করতে চাই। জানতে চাই, প্রিয়েমশন মামলা করলে কি বাড়িটা আমি পাব?","no",""
"prot_0110_03","Sifat","64","কিন্তু বিমান সদর Application of The Provision of Rule 191 (15) (C) of AF Act Rules 1957 অধীনে আমাকে ডিসচার্জ করে ২৭ জুন ২০০৯ সালে। আমাকে তিন মাস অবসরকালীন ছুটি দেওয়া হয়। উল্লেখ্য, আমি ছয় মাস ট্রেনিং ও তিন মাস প্রমোশন কোর্স সফলভাবে শেষ করি। ভর্তির সময় এসএসসি সনদ অনুযায়ী চাকরির বয়স ছিল। এখন কি আমি শ্রম আদালতে মামলা করে চাকরি ফিরে পেতে পারব?","কিন্তু ২০০৯ সালের ২৭ জুন বিমান সদর Application of The Provision of Rule 191 (15) (C) of AF Act Rules 1957 অনুযায়ী আমাকে চাকরি থেকে ডিসচার্জ করে দেয়। তিন মাসের অবসরকালীন ছুটিও দেওয়া হয়। বলে রাখি, আমি ছয় মাসের ট্রেনিং আর তিন মাসের প্রমোশন কোর্স ভালোভাবেই শেষ করেছিলাম। যোগ দেওয়ার সময় এসএসসি সার্টিফিকেট অনুযায়ী চাকরির বয়সও ঠিক ছিল। এখন শ্রম আদালতে মামলা করলে কি আমি চাকরিটা ফেরত পাব?","no","Text starts mid-story. Kept the Air Force rule citation because the question turns on it."
"prot_0112_04","Sifat","58","আপনার মতো যাঁরা এ রকম চিন্তা করছেন তাঁদের কাছে একটা অনুরোধ, নিজের ওপর আত্মঘাতী হওয়ার আগে নিজের জীবনের মূল্য উপলব্ধি করুন। আপনার জীবনের সঙ্গে জড়িত আছে আপনার বাবা-মা কিংবা সন্তানের জীবনও। সামান্য ঋণ থেকে মুক্তি পেতে এভাবে কিডনি বিক্রির চিন্তা থেকে সরে আসুন। আপনি কি ভেবে দেখেছেন আপনার একটি কিডনি নিয়ে পাচারকারী দল দেশের কত বড় সর্বনাশ করছে?","আপনার মতো যাঁরা এমন কথা ভাবছেন, তাঁদের প্রতি একটাই অনুরোধ—নিজের ক্ষতি করে বসার আগে নিজের জীবনের দামটা বুঝুন। আপনার জীবনের সঙ্গে মা-বাবা বা সন্তানের জীবনও জড়িয়ে আছে। অল্প কিছু ঋণ শোধ করার জন্য এভাবে কিডনি বেচে দেওয়ার ভাবনা থেকে ফিরে আসুন। ভেবে দেখেছেন কি, আপনার একটা কিডনি নিয়ে পাচারকারী চক্র দেশের কত বড় সর্বনাশ করছে?","no","Not a question: this is the columnist's advice text; paraphrased as is."
"prot_0114_01","Sifat","53","আবার মাঝেমধ্যে রাতে নেশা করে বাড়ি ফিরে আমার সঙ্গে খারাপ ব্যবহার করে। পরে এসব কারণে আমাদের মধ্যে ছাড়াছাড়ি হয়ে যায়। অনেক কষ্ট করে দেনমোহরের কিছু টাকা আদায় করতে পারলেও আমার ছেলের ভরণপোষণের কোনো খরচ সে দিচ্ছে না। আমার ছেলের বয়স এখন পাঁচ বছর। এ অবস্থায় আমি কি আমার সন্তানের ভরণপোষণের খরচ পেতে পারি?","তা ছাড়া মাঝেমধ্যে রাতে নেশা করে বাসায় ফিরে আমার সঙ্গে খারাপ ব্যবহার করত। এসব কারণেই পরে আমাদের ছাড়াছাড়ি হয়ে যায়। অনেক কষ্টে দেনমোহরের কিছু টাকা আদায় করতে পেরেছি, কিন্তু ছেলের ভরণপোষণের কোনো খরচ সে দিচ্ছে না। ছেলের বয়স এখন পাঁচ বছর। এ অবস্থায় আমি কি ছেলের ভরণপোষণের খরচ আদায় করতে পারব?","no","Text starts mid-story; the earlier part of the letter is not included."
"prot_0114_09","Sifat","60","এ ধারা অনুযায়ী বাদী আদালতে উপস্থিত না হলে তাহলে আদালত মামলা খারিজ করে দিতে পারেন এবং অভিযুক্ত ব্যক্তিকে খালাস দিতে পারেন। আপনি এ ধারা উল্লেখ করে আইনজীবীর মাধ্যমে আদালতে আবেদন করতে পারেন। অথবা আদালত বদলির জন্য জেলা ম্যাজিস্ট্রেটের কাছে আবেদন করতে পারেন। আপনার আবেদন না মঞ্জুর হলে এ আদেশের বিরুদ্ধে দায়রা আদালতে রিভিশন করতে পারেন।কন্যা ও স্ত্রী কতটুকু সম্পত্তি পায়?","এই ধারা অনুযায়ী বাদী আদালতে হাজির না হলে আদালত মামলাটি খারিজ করে আসামিকে খালাস দিতে পারেন। আপনি এই ধারার কথা উল্লেখ করে আইনজীবীর মাধ্যমে আদালতে আবেদন করতে পারেন, কিংবা আদালত বদলের জন্য জেলা ম্যাজিস্ট্রেটের কাছে আবেদন করতে পারেন। আবেদন নামঞ্জুর হলে সেই আদেশের বিরুদ্ধে দায়রা আদালতে রিভিশন করা যায়। মেয়ে আর স্ত্রী কতখানি সম্পত্তি পায়?","no","Columnist's reply to an earlier question, with the next question's title ('how much property do a daughter and wife get?') glued at the end."
"prot_0128_02","Sifat","67","আপনার সঙ্গে ছেলেটি বিয়ের নামে প্রতারণা করেছে বলে মনে হচ্ছে। আপনি ফৌজদারি আদালতে প্রতারণার মামলা করতে পারেন। এ ছাড়া দণ্ডবিধির ৪৯৩ ও ৪৯৬ ধারা অনুযায়ী প্রতিকার চাইতে পারেন। এ ধারাগুলো অনুযায়ী আইনসম্মত বিয়ে না করে প্রতারণামূলক বিয়ে করলে সাত বছর, ক্ষেত্রবিশেষ দশ বছর পর্যন্ত সশ্রম কারাদণ্ড ও অর্থদণ্ডে দণ্ডিত হতে পারে। তবে এক্ষেত্রে আপনার পক্ষে উপযুক্ত সাক্ষ্যপ্রমাণ থাকতে হবে।তৌহিদুল ইসলামআইনজীবী, বাংলাদেশ সুপ্রিম কোর্টখ্রিষ্টান নারীরা সম্পত্তি কতটুকু পায়?","মনে হচ্ছে, ছেলেটি বিয়ের নাম করে আপনার সঙ্গে প্রতারণা করেছে। আপনি ফৌজদারি আদালতে প্রতারণার মামলা করতে পারেন। পাশাপাশি দণ্ডবিধির ৪৯৩ ও ৪৯৬ ধারাতেও প্রতিকার চাইতে পারেন। এই ধারাগুলো অনুযায়ী আইনসম্মত বিয়ে না করে প্রতারণা করে বিয়ে করলে সাত বছর, কোনো কোনো ক্ষেত্রে দশ বছর পর্যন্ত সশ্রম কারাদণ্ড আর অর্থদণ্ড হতে পারে। তবে এর জন্য আপনার হাতে উপযুক্ত সাক্ষ্যপ্রমাণ থাকতে হবে। খ্রিষ্টান নারীরা সম্পত্তির কতটুকু ভাগ পান?","yes","Columnist's reply to an earlier question; removed the lawyer's name and designation, and the next question's title ('how much property do Christian women get?') is glued at the end."
"prot_0135_02","Sifat","43","এক ভাই ও চার বোন রেখে আমার মা মারা যান। আমার বাবা জীবিত আছেন। বাবা আরেকটি বিয়ে করেছেন। ওই পক্ষে দুই ভাই ও এক বোন আছে। প্রশ্ন হচ্ছে, আমার মায়ের সম্পত্তির ভাগ আমরা পাব কি না। আমার সৎভাইবোন আমার মায়ের সম্পত্তি পাবে কি?","আমার মা মারা গেছেন, রেখে গেছেন এক ছেলে আর চার মেয়ে। বাবা বেঁচে আছেন এবং আবার বিয়ে করেছেন; সেই ঘরে দুই ছেলে আর এক মেয়ে আছে। আমার জানার বিষয়, মায়ের সম্পত্তিতে কি আমরা ভাগ পাব? আর আমার সৎভাইবোনেরা কি মায়ের সম্পত্তির ভাগ পাবে?","no",""
"ajke_0143_01","Sifat","97","আমি একটি করপোরেট প্রতিষ্ঠানে চাকরি করি। স্বামীর সঙ্গে বিচ্ছেদ হয়েছে প্রায় তিন বছর। সম্প্রতি একটি মোবাইল ফোন নম্বর থেকে আমাকে বিভিন্নভাবে হয়রানি করা হচ্ছে। কখনো ছবি আবার কখনো মেসেজের স্ক্রিনশট ফাঁস করে দেওয়ার হুমকি দিয়ে ইতিমধ্যে আমার কাছ থেকে টাকাপয়সাও হাতিয়ে নিয়েছে নম্বরটির ব্যবহারকারী। আমি ডিভোর্সি উল্লেখ করলাম; কারণ, ডিভোর্সের পর আমাকে নিয়ে নানা মহলে নানা কথা হয়। আমি এসব নিয়ে মানসিক যন্ত্রণায় আছি। আমি টাকাপয়সা না দিয়ে আইনগত পদক্ষেপ নিতে চাই। নির্দিষ্টভাবে কাউকে যদি সন্দেহের তালিকায় না রাখি, তাহলে পদক্ষেপ নেব কীভাবে? যদিও সেই নম্বর আমার কাছে আছে। শুধু নম্বরের ভিত্তিতে কি আইনি ব্যবস্থা নেওয়া সম্ভব?","একটা করপোরেট অফিসে চাকরি করি। প্রায় তিন বছর হলো স্বামীর সঙ্গে ছাড়াছাড়ি হয়ে গেছে। ইদানীং একটা মোবাইল নম্বর থেকে আমাকে নানাভাবে হয়রানি করা হচ্ছে। কখনো ছবি, কখনো মেসেজের স্ক্রিনশট ছড়িয়ে দেওয়ার ভয় দেখিয়ে ওই নম্বরের লোকটা এর মধ্যেই আমার কাছ থেকে টাকাও হাতিয়ে নিয়েছে। ডিভোর্সের কথা বললাম এ কারণে যে ডিভোর্সের পর থেকে আমাকে নিয়ে নানা জায়গায় নানা কথা ওঠে। এসব নিয়ে আমি ভীষণ মানসিক কষ্টে আছি। টাকা না দিয়ে আমি এবার আইনের পথে যেতে চাই। কিন্তু নির্দিষ্ট কাউকে যদি সন্দেহ করতে না পারি, তাহলে ব্যবস্থা নেব কীভাবে? নম্বরটা অবশ্য আমার কাছে আছে। শুধু নম্বর দিয়েই কি আইনি ব্যবস্থা নেওয়া যায়?","no",""
"ajke_0151_01","Sifat","143","প্রশ্ন: আমার বিয়ের বয়স প্রায় ৭ বছর। ৫ বছরের একটি মেয়ে আছে। তার জন্মের পর থেকে আমার স্বামী আমাদের খোঁজখবর নিত না, ভরণপোষণ দিত না। সে লুকিয়ে বিদেশ থেকে দেশে যাতায়াত করত। আমাদের তার বাড়িতে নিয়ে যেত না। এসব কারণে বাধ্য হয়ে আমি কোর্টে মামলা করি। কোর্টে মামলা চলাকালে স্বামী আমার সঙ্গে সংসার করা এবং আমাদের ভরণপোষণ দেওয়ার কথা বলে আপস করে জামিনে বের হয়ে বিদেশে চলে যায়। আমি মেয়েকে নিয়ে বাবার বাড়িতে থাকি এবং মামলা স্থগিত রাখি। এখন সে বিদেশ থেকে কোনো যোগাযোগ করছে না, ভরণপোষণও দিচ্ছে না। এক আইনজীবী আমাকে জানিয়েছেন, আমার শ্বশুর কোর্টে গিয়েছিলেন ডিভোর্সের ব্যবস্থা করতে। কিন্তু আমার কাছে কোনো নোটিশ আসেনি এখনো। শুনেছি, আমার অনুপস্থিতিতে তালাক বিষয়ে কোর্ট নতুন করে শুনানি করেছেন। আমার প্রশ্ন, তারা আমার ইচ্ছার বিরুদ্ধে, আমার ও আমার স্বামীর উপস্থিতি ছাড়া মামলার কাগজপত্রে থাকা আমার স্বাক্ষর জাল করে আমার শ্বশুর কি আমাদের বিবাহবিচ্ছেদ করাতে পারেন?","প্রায় ৭ বছর হলো আমার বিয়ে হয়েছে, ৫ বছরের একটা মেয়ে আছে। মেয়ে হওয়ার পর থেকেই স্বামী আমাদের কোনো খোঁজ নিত না, খরচও দিত না। বিদেশ থেকে লুকিয়ে দেশে আসা-যাওয়া করত, কিন্তু আমাদের নিজের বাড়িতে নিয়ে যেত না। এসব কারণে বাধ্য হয়ে আদালতে মামলা করি। মামলা চলার সময় সে আমার সঙ্গে সংসার করবে আর আমাদের খরচ দেবে—এই কথা দিয়ে আপস করে জামিনে বেরিয়ে আবার বিদেশে চলে যায়। আমি মেয়েকে নিয়ে বাবার বাড়িতে থাকি, মামলাটাও স্থগিত রেখেছি। এখন সে বিদেশ থেকে কোনো যোগাযোগ করে না, খরচও পাঠায় না। এক আইনজীবী জানালেন, আমার শ্বশুর নাকি ডিভোর্সের ব্যবস্থা করতে আদালতে গিয়েছিলেন। কিন্তু এখনো আমার কাছে কোনো নোটিশ আসেনি। শুনেছি, আমার অনুপস্থিতিতেই আদালত তালাকের ব্যাপারে নতুন করে শুনানি করেছেন। আমার প্রশ্ন, আমার ইচ্ছার বিরুদ্ধে, আমি বা আমার স্বামী কেউ হাজির না থাকলেও, মামলার কাগজে থাকা আমার সই জাল করে কি শ্বশুর আমাদের ডিভোর্স করিয়ে দিতে পারেন?","no",""
"ajke_0159_01","Sifat","53","প্রশ্ন: স্বামীসহ শ্বশুরবাড়ির সবাই আমাকে শারীরিকভাবে নির্যাতন করে। এখন আমি যৌতুক নিরোধ আইনে মামলা করেছি। আমার উকিল আমাকে ভুল বুঝিয়ে স্বামীকে অস্থায়ী জামিন করিয়ে দিয়েছেন। এখন আমাকে ধমক দেওয়া হচ্ছে। মামলা খারিজ করে ফেলবে কি না, সে বিষয়ে এখন আমার ভয় হচ্ছে। উকিল এখন আমার হয়ে আদালতে মুভ করেন না। আমার করণীয় কী?","স্বামী আর শ্বশুরবাড়ির সবাই মিলে আমার ওপর শারীরিক নির্যাতন করে। এখন আমি যৌতুক নিরোধ আইনে মামলা করেছি। কিন্তু আমার উকিল আমাকে ভুল বুঝিয়ে স্বামীর অস্থায়ী জামিন করিয়ে দিয়েছেন। এখন উল্টো আমাকে ধমকানো হচ্ছে। মামলাটা খারিজ হয়ে যাবে কি না, সেই ভয়ে আছি। উকিলও এখন আর আমার হয়ে আদালতে কিছু বলেন না। আমি এখন কী করব?","no",""
"ajke_0166_01","Sifat","104","প্রশ্ন: আমি বাবার বাসায় থাকা অবস্থায় স্বামী আরেকটি বিয়ে করে। সে জানায়, আমাকে ডিভোর্স দিয়েছে। কিন্তু আমি আজ এক বছরেও কোনো নোটিশ পাইনি। তার বিয়ের পরপরই এক পারিবারিক আইনজীবীর সাহায্যে তার বিরুদ্ধে যৌতুকের মামলা করি। আইন ও মামলা বিষয়ে আমার ধারণা না থাকায় আইনজীবী যা বলেছেন, তা-ই করেছি। কোর্ট থেকে ওয়ারেন্ট বের হওয়ার পর তারা আগাম জামিন নিয়েছে, সেটা দুই মাস পর আমি জানতে পেরেছি। সে আমার দেড় বছরের সন্তানের কোনো ভরণপোষণ দেয় না, কোনো খোঁজখবরও রাখে না। আমি এই বয়সে মেয়েটাকে নিয়ে চাকরি করছি। কোথায় যাব, কী করব বুঝতে পারছি না। আমাদের আইনজীবী কি কোনো ধরনের ছলচাতুরী করেছে? এখন আমাদের কী করা উচিত?","আমি বাবার বাসায় থাকার সময় স্বামী আরেকটা বিয়ে করে। সে বলছে আমাকে ডিভোর্স দিয়ে দিয়েছে, অথচ এক বছর হয়ে গেল আমি কোনো নোটিশ পাইনি। ওর বিয়ের পরপরই একজন পারিবারিক আইনজীবীর সাহায্য নিয়ে ওর বিরুদ্ধে যৌতুকের মামলা করি। আইন-আদালত সম্পর্কে আমার কোনো ধারণা ছিল না, তাই আইনজীবী যা বলেছেন তা-ই করেছি। আদালত থেকে ওয়ারেন্ট বের হওয়ার পর ওরা আগাম জামিন নিয়ে নেয়, সেটা আমি জানতে পারি দুই মাস পরে। আমার দেড় বছরের বাচ্চার সে কোনো খরচ দেয় না, খোঁজখবরও রাখে না। এই বয়সে মেয়েকে নিয়ে আমি চাকরি করে চলছি। কোথায় যাব, কী করব কিছুই বুঝতে পারছি না। আমাদের আইনজীবী কি কোনো চালাকি করেছেন? এখন আমাদের কী করা উচিত?","no",""
"ajke_0179_01","Sifat","34","আমি জোর করে যাই। এরপর আর ফেরত যাইনি। অকথ্য ভাষায় কথা বলাসহ আমাকে বিবাহবহির্ভূত সম্পর্কের অপবাদও দেয় তারা। স্বামী ও ননদ ফোনে আমার মা-বাবাকে খারাপ ভাষায় গালমন্দ করেছে। এ জন্য কি জিডি করতে পারি?","জোর করেই আমি সেখানে গিয়েছিলাম। তারপর আর ফিরে যাইনি। ওরা আমাকে অশ্রাব্য ভাষায় গালাগাল করে, এমনকি বিয়ের বাইরে সম্পর্ক আছে বলে বদনামও দেয়। স্বামী আর ননদ ফোনে আমার বাবা-মাকে নোংরা ভাষায় গালমন্দ করেছে। এর জন্য কি জিডি করা যায়?","no","Text starts mid-story; the earlier part of the letter is not included."
"ajke_0189_01","Sifat","119","প্রশ্ন: বিয়ের বয়স দেড় বছর চলছে। বিয়ের সময় শ্বশুরবাড়ি থেকে কোনো ধরনের যৌতুক চাওয়া হয়নি। মা-বাবা বিয়ের সময় খাট ও আলমারি উপহার দিয়েছিলেন। বিয়ের দু-তিন মাস পর থেকে শাশুড়ি তাঁর আত্মীয়দের কাছে বলে বেড়াতে থাকেন, আমার পরিবার বিয়েতে কিছু দেয়নি। শ্বশুরবাড়ির সবাই আমার সঙ্গে খুব খারাপ ব্যবহার করে। মানসিক অত্যাচার করে। কিন্তু নিজেরা কখনো সরাসরি বলে না যে তাদের আসবাব বা টাকা লাগবে। দিন দিন ব্যাপারটা অসহনীয় পর্যায়ে চলে যাচ্ছে। তারা আমার গর্ভপাত করিয়েছে এই বলে যে স্বামীর এখনো সন্তান লালনপালন করার ক্ষমতা হয়নি। আমার স্বামী এসব ব্যাপারে কিছুই বলে না। আমার সন্দেহ, তার অন্য কোনো মেয়ের সঙ্গে সম্পর্ক আছে। একমুহূর্ত এই সংসারে থাকতে চাই না। যেহেতু তারা শারীরিকভাবে অত্যাচার করছে না, আমি ডিভোর্স দিতে চাইলে কি দিতে পারব?","দেড় বছর হলো বিয়ে হয়েছে। বিয়ের সময় শ্বশুরবাড়ি থেকে কোনো যৌতুক চাওয়া হয়নি। বাবা-মা নিজেরাই উপহার হিসেবে খাট আর আলমারি দিয়েছিলেন। বিয়ের দু-তিন মাস পর থেকে শাশুড়ি আত্মীয়দের কাছে বলে বেড়াতে থাকেন যে আমার বাড়ি থেকে বিয়েতে কিছুই দেয়নি। শ্বশুরবাড়ির সবাই আমার সঙ্গে খুব খারাপ ব্যবহার করে, মানসিকভাবে অত্যাচার করে। তবে নিজেরা কখনো মুখ ফুটে বলে না যে ওদের আসবাব বা টাকা চাই। দিন দিন ব্যাপারটা সহ্যের বাইরে চলে যাচ্ছে। স্বামীর নাকি এখনো সন্তান মানুষ করার সামর্থ্য হয়নি—এই বলে ওরা আমার গর্ভপাত করিয়েছে। আমার স্বামী এসব নিয়ে কিছুই বলে না। আমার সন্দেহ, অন্য কোনো মেয়ের সঙ্গে ওর সম্পর্ক আছে। এই সংসারে আমি আর এক মুহূর্তও থাকতে চাই না। ওরা যেহেতু শারীরিকভাবে নির্যাতন করছে না, তাহলে আমি ডিভোর্স দিতে চাইলে কি দিতে পারব?","no",""
"ajke_0193_01","Sifat","45","আমরা তখন ছোট ছিলাম। তাই বাবা মারা যাওয়ার আগে প্রথম সংসারের বড় ছেলেকে বলে যান আমাদের দেখাশোনা করতে। তখন থেকে তিনি আমাদের খোঁজখবর রাখতেন। চাচাদের সঙ্গে কথা বলার পর ওই পক্ষের দুই ভাই আমাদের সম্পত্তির ভাগ দিতে নারাজ। আমরা এখন কীভাবে আইনি সহায়তা পেতে পারি?","তখন আমরা ছোট ছিলাম, তাই মারা যাওয়ার আগে বাবা তাঁর প্রথম সংসারের বড় ছেলেকে বলে গিয়েছিলেন আমাদের দেখেশুনে রাখতে। সেই থেকে তিনিই আমাদের খোঁজখবর রাখতেন। কিন্তু চাচাদের সঙ্গে কথা বলার পর ওই ঘরের দুই ভাই এখন আমাদের সম্পত্তির ভাগ দিতে রাজি হচ্ছেন না। এখন আমরা কীভাবে আইনি সাহায্য পেতে পারি?","no","Text starts mid-story; the earlier part of the letter is not included."
