qid,annotator,n_words,question_bn,paraphrase,pii_removed,notes,merged_from
ajke_0187_01,Iftiaq,92,প্রশ্ন: আমার বয়স ২৩ বছর। ঢাকা বিশ্ববিদ্যালয় থেকে স্নাতক শেষ করে একটি বেসরকারি প্রতিষ্ঠানে শিক্ষানবিশ হিসেবে কাজ করছি মাসখানেক ধরে। কর্মস্থলে এক সিনিয়র ফেসবুক মেসেঞ্জারে বিরক্ত করে যাচ্ছেন। তিনি বিবাহিত। শুনতে না চাইলেও তাঁর পারিবারিক অশান্তির কথা আমাকে মেসেঞ্জারে লিখতেই থাকেন। স্ত্রীর সঙ্গে তাঁর শারীরিক কোনো সম্পর্ক নেই—এ ধরনের কথাও তিনি বলেন এবং কর্মস্থলের বাইরে আমার সঙ্গে দেখা করতে চান। সম্মতি না দেওয়ায় আকারে-ইঙ্গিতে নানান হুমকি দিচ্ছেন। যার মধ্যে অন্যতম হলো শিক্ষানবিশ পদ থেকে আমাকে সরিয়ে দেওয়া। তবে কর্মস্থলে তিনি আমাকে কখনো কিছু বলেন না। তাঁর বিরুদ্ধে কোন ধরনের ব্যবস্থা নিতে পারি?,"আমার বয়স ২৩ বছর। একটি বিশ্ববিদ্যালয় থেকে পড়াশোনা শেষ করে মাসখানেক আগে একটি বেসরকারি প্রতিষ্ঠানে ইন্টার্ন হিসেবে কাজ শুরু করেছি। অফিসের এক বিবাহিত সিনিয়র সহকর্মী ফেসবুক মেসেঞ্জারে প্রতিনিয়ত আমাকে যৌন হয়রানি ও বিরক্ত করছেন। আমি আগ্রহ না দেখালেও তিনি তাঁর দাম্পত্য কলহের কথা, স্ত্রীর সাথে শারীরিক সম্পর্ক না থাকার কথা লিখে পাঠান এবং অফিসের বাইরে একান্তে দেখা করার চাপ দেন। রাজি না হওয়ায় আকারে-ইঙ্গিতে ইন্টার্নশিপ বাতিল করে দেওয়ার হুমকি দিচ্ছেন, যদিও অফিসে সামনাসামনি কিছু বলেন না। তাঁর এই অনৈতিক আচরণের বিরুদ্ধে আমি কর্মক্ষেত্রে বা আইনে কী ব্যবস্থা নিতে পারি?",yes,,
ajke_0191_01,Iftiaq,57,"প্রশ্ন: আমরা চার বোন। কোনো ভাই নেই। কিছুদিন আগে বাবা মারা গেছেন। বাবা মারা যাওয়ার পরপরই চাচাতো ভাইয়েরা সম্পত্তি নিয়ে নানা রকম ঝামেলা বাধানোর চেষ্টা করছে। তারা বলছে, ভাই নেই বলে মা এবং আমরা বাবার সম্পত্তির কোনো অংশই পাব না। এটা কি সত্যি? যদি না হয়, তাহলে এই মুহূর্তে বাবার সম্পত্তি বুঝে নিতে আমরা কী করতে পারি?","আমাদের পরিবারে চার বোন, কোনো ভাই নেই। সম্প্রতি আমাদের বাবা ইন্তেকাল করেছেন। বাবা মারা যেতেই চাচাতো ভাইয়েরা সম্পত্তি নিয়ে নানা অশান্তি শুরু করেছে। তাদের দাবি, আমাদের ভাই না থাকায় নাকি মা কিংবা আমরা চার বোন বাবার সম্পত্তির কিছুই পাব না। তাদের এই দাবি কি শরিয়ত বা আইনসম্মত? যদি তা না হয়, তবে বাবার বৈধ সম্পত্তি নিজেদের কবজায় আনতে এই মুহূর্তে আমাদের কী পদক্ষেপ নেওয়া দরকার?",no,,
ajke_0198_01,Iftiaq,100,প্রশ্ন: আমার বান্ধবীর স্বামী একজন প্রবাসী এবং আট বছর ধরে দেশের বাইরে আছেন। আট বছরে তার স্বামী মাত্র দুইবার দেশে এসেছেন এক বা দুই মাসের জন্য। তারা নিঃসন্তান। এদিকে সন্তান হচ্ছে না বলে বান্ধবী শ্বশুরবাড়িতে প্রতিনিয়ত শারীরিক ও মানসিক নির্যাতনের সম্মুখীন হচ্ছে। পরিবার আর্থিকভাবে অতটা সচ্ছল নয়। তাই তারা মামলা-মোকদ্দমায় যেতে চাইছে না। মেয়েকে তারা আবারও বিয়ে দিতে চায়। কিন্তু বারবার বলার পরও বান্ধবীর স্বামী তাকে তালাক দিচ্ছে না। এ ক্ষেত্রে বান্ধবীর বা তার পরিবারের করণীয় কী? স্বামী বিদেশে থাকা অবস্থায় তাকে কি তালাক দিতে পারবে? তালাক দেওয়া গেলে কীভাবে দিতে হবে? সেক্ষেত্রে আমার বান্ধবী দেনমোহরের টাকা পাবে কি না?,"আমার বান্ধবীর স্বামী একজন প্রবাসী কর্মী, প্রায় আট বছর ধরে প্রবাসে থাকেন। এই আট বছরের মধ্যে মাত্র দুবার এক-দুই মাসের জন্য দেশে এসেছিলেন। তাঁদের কোনো সন্তানাদি নেই। সন্তান না হওয়ার অজুহাতে শ্বশুরবাড়ির লোকজন প্রতিনিয়ত আমার বান্ধবীকে শারীরিক ও মানসিক নির্যাতন করছে। বান্ধবীর পরিবারের আর্থিক অবস্থা ভালো না হওয়ায় তারা কোনো মামলা-মোকদ্দমায় জড়াতে চায় না, বরং মেয়েকে এনে অন্যত্র বিয়ে দিতে আগ্রহী। কিন্তু বারংবার অনুরোধ করা সত্ত্বেও স্বামী কোনোভাবেই তালাক দিচ্ছে না। এই অবস্থায় আমার বান্ধবী বা তার পরিবারের করণীয় কী? স্বামী প্রবাসে থাকা অবস্থায় স্ত্রী কি একতরফাভাবে তালাক পাঠাতে পারবে? তালাক দিতে হলে কীভাবে পাঠাতে হবে এবং সে ক্ষেত্রে আমার বান্ধবী কি তার দেনমোহরের সম্পূর্ণ টাকা পাবে?",no,,
ajke_0205_01,Iftiaq,186,"আমাদের বিয়ে হয়েছে পাঁচ বছর। এক বছর ধরে আমার স্বামীর কথাবার্তা আর আচরণে পরিবর্তন বুঝতে পারছি। হঠাৎ একদিন সে জানায়, আমাকে তার আর ভালো লাগছে না, এই সংসার ছেড়ে চলে যাবে। সত্যি সত্যি সে আমাদের ছেড়ে চলে গেছে! আমার সঙ্গে কোনো ধরনের যোগাযোগ রাখছে না। আমাদের একটা সন্তান আছে। সে তার দাদির কাছে থাকে। ওর বয়স এক বছর। আমি ছেলেকে আমার কাছে আনতে চাই। সন্তানকে ওখানে নিরাপদ মনে করি না। কীভাবে আনব সন্তানকে? এই পরিস্থিতিতে করণীয় কী? নাম প্রকাশে অনিচ্ছুক, কুড়িগ্রাম উওর: মুসলিম আইন অনুযায়ী বাবা হচ্ছেন নাবালক সন্তানের স্বাভাবিক ও আইনগত অভিভাবক এবং মা হচ্ছেন তার তত্ত্বাবধায়ক। নাবালক সন্তান ছেলে হলে, বয়স সাত বছর হওয়া পর্যন্ত মা থাকবেন তার তত্ত্বাবধায়ক বা জিম্মাদার। অতএব আপনার এক বছর বয়সের ছেলেসন্তানের আইনগত তত্ত্বাবধায়ক বা জিম্মাদার আপনি। দাদির কাছ থেকে আপনি আপনার সন্তান চান, না পেলে পারিবারিক আদালত আইনের ৫ ধারার অধীনে পারিবারিক আদালতে নাবালক সন্তানের অভিভাবকত্ব ও তত্ত্বাবধান চেয়ে মামলা করতে পারবেন। এ ছাড়া স্বামীকে বিবাদী করে আপনার দেনমোহর এবং আপনার ও সন্তানের জন্য ওই ৫ ধারার অধীনে ভরণপোষণ চাইতে পারেন। প্রয়োজনে যেকোনো জেলার জজ কোর্টের ‘ন্যাশনাল লিগ্যাল এইড সার্ভিসেস’ থেকে আপনি বিনা পয়সায় আইনি সহায়তা পেতে পারেন","আমাদের বিয়ের বয়স পাঁচ বছর। গত এক বছর ধরে স্বামীর আচরণ ও কথাবার্তায় অদ্ভুত পরিবর্তন লক্ষ করছিলাম। হঠাৎ একদিন সে সাফ জানিয়ে দেয় যে আমাকে আর তার ভালো লাগে না এবং সে সংসার ছেড়ে চলে যাবে। সত্যিই সে আমাদের ফেলে নিরুদ্দেশ হয়ে গেছে এবং কোনো ধরনের যোগাযোগ রাখছে না। আমাদের এক বছর বয়সী একটি দুধের সন্তান রয়েছে, যে বর্তমানে তার দাদির হেফাজতে আছে। কিন্তু সেখানে আমার বাচ্চা নিরাপদ নয় বলে আমি তাকে আমার কোলে ফিরিয়ে আনতে চাই। এই পরিস্থিতিতে সন্তানকে আইনিভাবে নিজের হেফাজতে ফেরত আনতে আমার কী করণীয়?",yes,মূল প্রশ্নে সংবাদপত্রের আইনি উত্তর যুক্ত ছিল; শুধুমাত্র নাগরিকের মূল প্রশ্নটি রেখে প্যারাফ্রেজ করা হয়েছে।,
dail_0628_02,Iftiaq,12,It is legal in Bangladesh to terminate a staff for becoming pregnant?,বাংলাদেশে কি কোনো নারী কর্মী গর্ভবতী হওয়ার কারণে তাঁকে চাকরি থেকে বরখাস্ত করা আইনগতভাবে বৈধ?,no,Original question was in English; translated and paraphrased into casual Bangla.,
lawy_0212_01,Iftiaq,12,কোম্পানির চেক ডিজঅনার হলে মামলা কার বিরুদ্ধে করবেন? কোম্পানি নাকি পরিচালকদের নামে?,কোনো লিমিটেড কোম্পানির দেওয়া চেক বাউন্স করলে কার বিরুদ্ধে মামলা দিতে হয়—কোম্পানি নাকি কোম্পানির পরিচালকদের নামে?,no,,
lawy_0262_01,Iftiaq,9,"বাপ, দাদা ও নানা বাড়ির সম্পত্তি কিভাবে উদ্ধার করবেন?","বাবা, দাদা কিংবা নানার রেখে যাওয়া বেদখলকৃত পৈতৃক জমি কীভাবে আইনগতভাবে উদ্ধার করতে হয়?",no,,
lawy_0321_01,Iftiaq,8,বোনেরা প্রাপ্য অংশ থেকে বঞ্চিত হলে কি করবেন?,পৈতৃক সম্পত্তিতে ভাইয়েরা বোনদের ন্যায্য অধিকার বা অংশ না দিলে কীভাবে প্রতিকার পাওয়া যায়?,no,,
lawy_0335_01,Iftiaq,8,তালাকের পর স্ত্রী কর্তৃক যৌতুকের মামলায় কি করবেন?,"বিবাহবিচ্ছেদের পর সাবেক স্ত্রী যদি যৌতুক নিরোধ আইনে মিথ্যা মামলা ঠুকে দেয়, তবে সেক্ষেত্রে কী পদক্ষেপ নেওয়া উচিত?",no,,
lawy_0362_01,Iftiaq,10,মামলাকৃত জমি বিক্রিতে আইনী বাধা : কি বলে আইন ?,আদালতে মামলা বিচারাধীন থাকা অবস্থায় কোনো জমি কেনাবেচা করার ব্যাপারে আইনের বিধান কী?,no,,
lawy_0382_01,Iftiaq,11,"মৃত ব্যক্তির ব্যাংক হিসাবে গচ্ছিত টাকা কে পাবে, নমিনী না ওয়ারিশ?",কোনো ব্যক্তি মারা গেলে ব্যাংকে রাখা তাঁর সঞ্চিত টাকার প্রকৃত মালিক কে হবে—নমিনী নাকি আইনগত ওয়ারিশরা?,no,,
lawy_0409_01,Iftiaq,9,নারী ও শিশু নির্যাতন দমন আইনে কিভাবে জামিন নিবেন,নারী ও শিশু নির্যাতন দমন আইনে দায়ের করা মামলায় কীভাবে আদালত থেকে জামিন পাওয়া যেতে পারে?,no,,
lawy_0432_01,Iftiaq,11,"মুসলিম, হিন্দু, বৌদ্ধ, খ্রিষ্টান, নৃ-গোষ্ঠী ও হিজড়াদের উত্তরাধিকার- আইন কি বলে?","মুসলিম, হিন্দু, বৌদ্ধ, খ্রিস্টান, ক্ষুদ্র নৃগোষ্ঠী এবং তৃতীয় লিঙ্গের (হিজড়া) ব্যক্তিদের সম্পত্তি উত্তরাধিকারের ক্ষেত্রে আইনের বিধান কী?",no,,
lawy_0464_01,Iftiaq,10,মালিকানা নির্ধারণের বিচার নিষ্পত্তিতে কি পূর্বের রেকর্ড ‘মৃত’ হতে পারে?,জমির স্বত্ব ও মালিকানা নির্ধারণের আদালতের রায়ে কি আগের খতিয়ান বা রেকর্ড বাতিল বলে গণ্য হতে পারে?,no,,
lawy_0568_01,Iftiaq,9,সাদা কাগজে সই নিলে কি জমি দখল করা সম্ভব?,খালি বা সাদা কাগজে কারো স্বাক্ষর বা টিপসই নিয়ে কি আইনত কোনো জমি দখল বা মালিকানা দাবি করা সম্ভব?,no,,
prot_0002_01,Iftiaq,41,আমি কলকাতার একটি হিন্দু মেয়েকে বিয়ে করতে যাচ্ছি। তার এবং আমার—দুই পরিবারই রাজি। ধর্ম পরিবর্তন করে মেয়েটি ইসলাম ধর্ম গ্রহণ করার জন্য প্রস্তুত। এখন আমরা কীভাবে এই বিয়ের কাজটি সম্পন্ন করতে পারি? বিয়ের পর সে বাংলাদেশেই থাকতে চায়। নাম প্রকাশে অনিচ্ছুক,"আমি ভারতের এক সনাতন ধর্মাবলম্বী নারীকে বিয়ে করতে যাচ্ছি। উভয় পরিবারেরই এই বিয়েতে পূর্ণ সম্মতি আছে। মেয়েটি স্বেচ্ছায় ধর্মান্তরিত হয়ে ইসলাম গ্রহণ করতে ইচ্ছুক। এখন আমরা আইনগতভাবে কীভাবে এই বিয়ে সম্পন্ন করব? বিয়ের পর সে স্থায়ীভাবে বাংলাদেশে বসবাস করতে চায়, তার নাগরিকত্ব ও ভিসার জন্য কী করণীয়?",yes,,
prot_0003_04,Iftiaq,52,"আমার স্বামী দুই বছর আগে বেকারত্বজনিত হতাশার শিকার হয়ে আমাকে তালাক দেন। আমাদের একটা তিন বছর বয়সী মেয়ে আছে। এখন আমার স্বামী তাঁর ভুল বুঝতে পেরে আবার আমাদের নিয়ে সংসার করতে চান। আমরা মুসলিম। যত দূর জানি, এটা নিয়ে বিতর্ক আছে। আমরা কি হিল্লা ছাড়া আবার বিয়ে করতে পারব? নাম প্রকাশে অনিচ্ছুক",চাকরি না পেয়ে চরম হতাশায় পড়ে প্রায় দুই বছর আগে আমার স্বামী আমাকে তালাক দিয়েছিলেন। আমাদের একটি তিন বছরের মেয়েসন্তান আছে। বর্তমানে আমার স্বামী নিজের ভুল বুঝতে পেরেছেন এবং সন্তানসহ আমাকে আবার সংসারে ফেরত নিতে চান। আমরা মুসলিম। যতটুকু শুনেছি এ নিয়ে নানারকম বিতর্ক আছে; এখন কোনো হিল্লা বিয়ে ছাড়াই কি আমরা নতুন করে নিকাহ করে সংসার শুরু করতে পারব?,no,,
prot_0006_03,Iftiaq,44,"আমার দুলাভাই পাটের একজন আড়তদার। তাঁর আড়তে একজন পাট বিক্রি করতে এলে শ্রমিকের সঙ্গে মারামারি হয়। লোকটি পরের দিন বাড়িতে গিয়ে মারা যান। পরে তাঁরা দুলাভাইয়ের নামে হত্যা মামলা করেন, অথচ তিনি ছিলেন আড়তের ভেতরে। এখন দুলাভাই হাজতে আছেন। কী করতে পারি? আজমল হোসেন",আমার দুলাভাই একজন পাটের আড়তদার। একদিন এক ব্যক্তি পাট বিক্রি করতে এলে আড়তের এক শ্রমিকের সাথে তার মারামারি বাধে। লোকটি পরদিন নিজ বাড়িতে গিয়ে মারা যায়। এরপর তারা অন্যায়ভাবে আড়তের ভেতরে বসে থাকা দুলাভাইয়ের নামে হত্যা মামলা দিয়ে দেয় এবং বর্তমানে তিনি জেলহাজতে আছেন। এই মিথ্যা মামলা থেকে তাঁকে মুক্ত করতে আমাদের কী করা উচিত?,yes,,
prot_0008_06,Iftiaq,8,এ পর্যায়ে নাম সংশোধনের ব্যবস্থা আছে কি না?,এই পরিস্থিতিতে এসে নথিপত্রে নিজের নাম সংশোধনের কোনো আইনি প্রক্রিয়া আছে কি?,no,,
prot_0009_05,Iftiaq,37,একসময় তিনি নানাবাড়িতে চলে আসেন। আমি বড় হওয়ার পর চাচাদের সঙ্গে মিলে ২৫ শতাংশ জমি কিনেছিলাম। আমার নামে সেই জমি সমহারে দলিল হয়েছে। কিন্তু চাচারা ওই জমি আমাদের দখলে দিতে চায় না। আইনগত কী ব্যবস্থা নিতে পারি?,"আমরা একপর্যায়ে নানাবাড়িতে চলে আসি। প্রাপ্তবয়স্ক হওয়ার পর চাচাদের সাথে যৌথভাবে ২৫ শতক জমি ক্রয় করেছিলাম, যার দলিলে আমার সমান অংশ রয়েছে। কিন্তু এখন চাচারা জোর করে জমিটি আটকে রেখে আমাদের দখলে দিচ্ছে না। এই জমি উদ্ধারে আমি কী আইনি প্রতিকার পেতে পারি?",no,,
prot_0013_02,Iftiaq,119,"আমার বাবা-চাচারা চার ভাই, এক বোন। মেজো চাচা নিঃসন্তান এবং আমার বাবা মেজো চাচার আগে মারা গেছেন। আমার অন্য দুই কাকা ও ফুফু জীবিত। আমার জীবিত দুই চাচা ও কয়েকজন আইনজীবীর মত অনুযায়ী আমার নিঃসন্তান চাচার আগে আমার বাবা মারা যাওয়ায় এবং এখনো দুই চাচা ও ফুফু জীবিত থাকায় আইন অনুযায়ী আমরা নাকি দূরবর্তী। তাই মৃত নিঃসন্তান কাকার সম্পত্তির কোনো অংশ আমাদের না দিয়ে চাচারা নিজেদের মধ্যে ভাগাভাগি করে নিয়েছেন এবং বিধবা চাচিকে কিছু অংশ দিয়েছেন। আমরা কি মৃত নিঃসন্তান চাচার সম্পত্তির অংশ পাব? যদি পাই, তাহলে কে কত অংশ পাবে এবং কীভাবে আমরা আইনগত পদক্ষেপ নিতে পারি? মো. মামুনুর রহমান মধুপুর, টাঙ্গাইল। l উত্তরাধিকারী হিসেবে আপনারা আপনার বাবার সম্পত্তি পাবেন। আপনার নিঃসন্তান চাচার সম্পত্তি তাঁর জীবিত ভাইবোনেরা পাবেন","আমার বাবা-চাচারা চার ভাই ও এক বোন ছিলেন। আমার মেজো চাচা নিঃসন্তান ছিলেন এবং আমার বাবা মেজো চাচার মৃত্যুর আগেই ইন্তেকাল করেন। আমার অন্য দুই চাচা ও এক ফুফু এখনো জীবিত। জীবিত চাচারা এবং কয়েকজন উকিল বলছেন যে বাবা আগে মারা যাওয়ায় এবং অন্য চাচা-ফুফু বেঁচে থাকায় আমরা দূরবর্তী ওয়ারিশ, তাই নিঃসন্তান চাচার সম্পত্তিতে আমাদের কোনো অংশ নেই। চাচারা বিধবা চাচিকে নামমাত্র কিছু অংশ দিয়ে বাকি সব নিজেদের মধ্যে ভাগ করে নিয়েছেন। নিঃসন্তান চাচার সম্পত্তিতে কি আমরা বাবার উত্তরাধিকার হিসেবে কোনো হিস্যা পাব? পেলে কে কতটুকু পাব এবং অধিকার আদায়ে কীভাবে মামলা করব?",yes,মূল প্রশ্নে সংবাদপত্রের আইনি উত্তর ও নাম-ঠিকানা যুক্ত ছিল; ব্যক্তিগত তথ্য বাদ দিয়ে নাগরিকের মূল প্রশ্নটি প্যারাফ্রেজ করা হয়েছে।,
prot_0015_03,Iftiaq,156,"আমি যখন স্কুলে পড়ি, তখন আমার পাশের বাড়ির একটি ছেলের সঙ্গে সম্পর্কে জড়িয়ে পড়ি। ছেলেটির সঙ্গে আমার শারীরিক সম্পর্ক হয়। কিন্তু কিছুদিন পর ছেলেটি আমার সঙ্গে আর যোগাযোগ রাখেনি। ছেলেটির সঙ্গে যোগাযোগের চেষ্টা করলে সে আমাকে এড়িয়ে চলে। ছেলেটির ব্যবহারে আমি অনেক কষ্ট পাই। আমি ছেলেটিকে ভুলে গিয়েছিলাম; কিন্তু সমস্যা হলো আমাদের সম্পর্কের কিছু প্রমাণ তার কাছে আছে। সে আমাকে পরবর্তী সময়ে কোনো সমস্যা করবে কি না, তা নিয়ে আমি দুশ্চিন্তায় আছি। এসএসসি পরীক্ষার কিছুদিন আগে আমার দূর সম্পর্কের এক আত্মীয়ের ছেলের সঙ্গে আমি আবার সম্পর্কে জড়িয়ে পড়ি। আমি ছেলেটিকে অনেক ভালোবাসি। সেও আমাকে ভালোবাসে। আমাদের মধ্যে অনেকবার শারীরিক সম্পর্ক হয়। আমি ছেলেটিকে বিয়ে করব বলে স্থির করেছিলাম। কিন্তু যখন জানতে পারলাম সে অন্য আরেকটি মেয়ের সঙ্গেও শারীরিক সম্পর্ক করেছে, তখন আমি তাকে আর গ্রহণ করতে পারছি না। আমি এখন মানসিক অশান্তিতে আছি। আমার ভয় হয়, আমি যে ছেলেটির সঙ্গে সম্পর্ক করেছি, সে যদি আমার কোনো ক্ষতি করে। এখন আমি কী করব? মনি ঠিকানা প্রকাশে অনিচ্ছুক","স্কুলে পড়ার সময় প্রতিবেশী এক ছেলের সাথে আমার প্রেমের সূত্রে দৈহিক সম্পর্ক গড়ে ওঠে। কিছুদিন পরই সে যোগাযোগ বন্ধ করে আমাকে এড়িয়ে চলতে থাকে, যা আমাকে খুব কষ্ট দেয়। পরে নিজেকে সামলে নিলেও আমাদের সম্পর্কের কিছু আপত্তিকর প্রমাণ বা ছবি তার কাছে থাকায় ভবিষ্যতে কোনো ব্ল্যাকমেইল বা ক্ষতির আশঙ্কায় আমি সবসময় দুশ্চিন্তায় থাকি। পরবর্তীতে এসএসসি পরীক্ষার পূর্বে দূরসম্পর্কের এক আত্মীয়ের সাথে ভালোবাসায় জড়িয়ে আবারও শারীরিক সম্পর্কে যাই এবং বিয়ে করার সিদ্ধান্ত নিই। কিন্তু সম্প্রতি জানতে পারি যে সে অন্য এক মেয়ের সাথেও একই সম্পর্ক রেখেছে, ফলে তাকে আর বিয়ে করতে মন চাইছে না। এখন তীব্র মানসিক যন্ত্রণায় ভুগছি এবং ভয় হচ্ছে যে এই দুই ছেলের কেউ আমার বিরুদ্ধে কোনো ছবি বা তথ্য ফাঁস করে ক্ষতিসাধন করবে কি না। এই অবস্থায় আমার আইনি বা সামাজিক সুরক্ষার কী পথ আছে?",yes,,
prot_0017_04,Iftiaq,45,"আর এ বিষয়টি মেয়েপক্ষের লোক ছাড়া কেউ জানে না। নিবন্ধনের সময় আমার পক্ষের কোনো সাক্ষী ছিল না। এরপর আমি মেয়েটিকে বিয়ে বাতিলের কথা বলে। মেয়েটি রাজি হয় কিন্তু বলে, দেড় দুই মাসের আগে সই করবে না। এ ক্ষেত্রে মেয়েটি কি কোন আইনি ব্যবস্থা নিতে পারে?","বিয়ের ঘটনাটি মেয়ের পরিবারের লোকজন ছাড়া আমার পক্ষের কেউ জানে না, এমনকি রেজিস্ট্রির সময়ও আমার দিক থেকে কোনো সাক্ষী ছিল না। পরবর্তীতে আমি বিয়ের এই চুক্তি বাতিলের কথা বললে মেয়েটি রাজি হয়, তবে জানায় যে দেড়-দুই মাসের আগে কোনো সই দেবে না। এই পরিস্থিতিতে মেয়েটি কি পরবর্তীতে আমার বিরুদ্ধে কোনো মামলা বা আইনি ব্যবস্থা নিতে পারবে?",no,,
prot_0020_01,Iftiaq,176,"আমি স্নাতকোত্তর শেষ করে চাকরি খুঁজছি। পাশের বাসার এক নারী তাঁর স্বামী ও দুই সন্তানসহ থাকেন। প্রতিবেশী হিসেবে তাঁর বাসায় মাঝেমধ্যে যেতাম। সম্পর্কে তিনি আমার চাচি। তিনি একদিন বললেন, আমাকে নাকি পছন্দ করেন এবং তাঁর সঙ্গে শারীরিক সম্পর্কের প্রস্তাব দিলেন। আমি রাজি হয়ে যাই। একপর্যায়ে তিনি সন্তানসম্ভবা হয়ে পড়েন। তাঁকে সন্তান নষ্ট করার কথা বললেও তিনি তা করেননি। সেসব কথা তাঁর কাছে মুঠোফোনে রেকর্ড করা আছে। এ সম্পর্ক থেকে আমি বেরিয়ে আসতে চাইলেও তিনি রাজি হন না। বরং আমাকে বিয়ের জন্য চাপ দেন ও নানা হুমকি দেন। এখন তাঁর স্বামীও বিষয়টি জেনে ফেলে আমাকে ভয় দেখাচ্ছেন। আমার পক্ষে তাঁকে বিয়ে করা অসম্ভব। আমি জানতে চাই, ফোনের ওই রেকর্ড দিয়ে তিনি আমার কোনো ক্ষতি করতে পারবেন কিনা। তথ্যপ্রযুক্তি আইনে আমি তাঁর বিরুদ্ধে আইনি কোনো ব্যবস্থা নিতে পারব কিনা? কাজল রাজশাহী দৈহিক সম্পর্ক থাকুক বা না-থাকুক ফৌজদারি আইনে আপনাকে হেনস্তা করা সম্ভব। তিনি আপনার বিরুদ্ধে দণ্ডবিধি, নারী ও শিশু নির্যাতন দমন আইন ছাড়াও অন্যান্য ফৌজদারি বিধিতে মামলা করতে পারেন। তথ্যপ্রযুক্তি আইনে আপনার মামলা করার কোনো সুযোগ নেই। তবে আলোচনার মাধ্যমে আপনি এ ধরনের সম্পর্ক থেকে পরিত্রাণ পেতে পারেন","মাস্টার্স শেষ করে আমি চাকরির চেষ্টা করছি। প্রতিবেশী এক বিবাহিত নারীর (সম্পর্কে চাচি) সাথে পরিচয়ের সূত্রে ঘনিষ্ঠতা হয় এবং তাঁর প্রস্তাবে আমরা শারীরিক সম্পর্কে জড়িয়ে পড়ি। একপর্যায়ে তিনি গর্ভবতী হয়ে পড়েন। আমি গর্ভপাতের অনুরোধ করলেও তিনি তা না করে আমাদের কথোপকথন গোপনে ফোনে রেকর্ড করে রাখেন। এখন এই সম্পর্ক ছিন্ন করতে চাইলে তিনি উল্টো আমাকে বিয়ের জন্য চাপ দিচ্ছেন ও নানা হুমকি দিচ্ছেন, এমনকি তাঁর স্বামীও জেনে ফেলে আমাকে প্রাণনাশের ভয় দেখাচ্ছেন। দুই সন্তানের জননী ওই নারীকে বিয়ে করা আমার পক্ষে কিছুতেই সম্ভব নয়। ফোনে সংরক্ষিত ওই অডিও রেকর্ড দিয়ে কি তিনি আমার বিরুদ্ধে আইনি কোনো ক্ষতি করতে পারবেন? আর এই ব্ল্যাকমেইল বা হুমকির বিরুদ্ধে আমি কি সাইবার বা তথ্যপ্রযুক্তি আইনে কোনো ব্যবস্থা নিতে পারি?",yes,মূল প্রশ্নে সংবাদপত্রের আইনি পরামর্শ এবং নাম ও জেলার নাম যুক্ত ছিল; ব্যক্তিগত তথ্য বাদ দিয়ে নাগরিকের মূল প্রশ্নটি প্যারাফ্রেজ করা হয়েছে।,
